model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1547,5.225159106710918,16.525442206035112,0.9630378342928274,0.8193314010931086,aqi,RandomForest,46.208830034000016
AQI:GradientBoosting,1547,7.581744619991651,17.419544264653418,0.9589299900777422,0.8371069812346853,aqi,GradientBoosting,40.097554643999956
AQI:LinearRegression,1547,6.0752922677553505,18.641941404341175,0.9529636614560882,0.5913318308525999,aqi,LinearRegression,0.4512635710000268
AQI:Persistence,1547,4.745959922430511,19.23503120193379,0.9499231479032729,0.7207498383968972,aqi,Persistence,0.0
AQI:GRU,1514,8.218838987122895,18.891212878580863,0.9521111013471345,-0.609423870844851,aqi,GRU,
AQI:PINN,1514,8.314578837624413,18.91526373288219,0.9519890867254348,0.7585477283359072,aqi,PINN,
AQI:PIIANN,1514,7.813012927442845,18.57807010392672,0.9536855661019749,0.7068276445524564,aqi,PIIANN,
pm25:PIIANN,1595,19.431011897825336,39.6590855613332,0.5285542832994027,-0.36280079714276575,pm25,PIIANN,
pm10:PIIANN,1590,40.24072662442923,69.07466719236254,0.5702970309726192,-3.826261474866912,pm10,PIIANN,
no2:PIIANN,1596,6.666146066707365,10.606556453860227,0.3913555713322201,-0.6479030762353263,no2,PIIANN,
so2:PIIANN,1594,4.566424261787941,6.8460728524632986,0.3428766271400784,0.21148800487668631,so2,PIIANN,
co:PIIANN,1603,0.38205510684930327,0.5834659306520303,0.45869725256556515,0.015287443747340757,co,PIIANN,
o3:PIIANN,1599,12.249885190809477,17.643179405358552,0.41431457965531415,-0.07393453643191897,o3,PIIANN,
