model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,1327,8.95391221562118,20.888789088499877,0.9497027726140956,-0.05012350690956504,aqi,GradientBoosting,23.377699347999965
AQI:RandomForest,1327,6.123700312687853,20.959335216108403,0.9493624688974726,0.1100543841501031,aqi,RandomForest,29.41166766899994
AQI:LinearRegression,1327,7.330167297385319,21.833631540644106,0.9450497756916725,-0.3851165125838631,aqi,LinearRegression,0.11730704199999309
AQI:Persistence,1327,5.499623210248681,23.35431198880056,0.9371288114067889,-0.41823662396382816,aqi,Persistence,0.0
AQI:GRU,1297,7.706866813017537,16.834197447467876,0.9695124486573703,0.6482198660269894,aqi,GRU,
AQI:PINN,1297,6.918831358987636,16.7240456827964,0.969910123746073,0.8751161829200146,aqi,PINN,
AQI:PIIANN,1297,7.227752510702714,16.35368238287196,0.9712280810123299,0.0003024766168572063,aqi,PIIANN,
pm25:PIIANN,1460,23.836125754166957,35.43726889873273,0.6792416119770182,3.8212689492800465,pm25,PIIANN,
no2:PIIANN,1415,16.317708639458296,21.166824134108968,0.7281013444373108,0.4217547500091391,no2,PIIANN,
so2:PIIANN,1292,2.850982763449843,4.111737665546323,0.5931433987616922,0.05296539448363124,so2,PIIANN,
co:PIIANN,1410,0.2895289761234549,0.48210596748494616,0.6950367317729007,0.0073899492214201555,co,PIIANN,
o3:PIIANN,1329,11.944956085572484,16.51383233792547,0.43730575707495345,0.8378565740190653,o3,PIIANN,
