model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1600,6.769701468459816,19.19220168895138,0.9626655537780852,1.040351485633071,aqi,RandomForest,47.15743156399992
AQI:GradientBoosting,1600,9.561536507554047,20.491230693367218,0.957440530940554,0.7757454931855903,aqi,GradientBoosting,39.80860243500001
AQI:LinearRegression,1600,7.6011554761667535,20.86227440547953,0.9558852905801763,0.8684082357444673,aqi,LinearRegression,0.1374485869999944
AQI:Persistence,1600,6.071875,21.547338872816752,0.9529404901320324,0.36,aqi,Persistence,0.0
AQI:GRU,1566,9.130543165153588,20.682861021519866,0.9563558331075875,1.4404244762475458,aqi,GRU,
AQI:PINN,1566,9.111237467551286,20.3111192285242,0.9579106041998512,1.2145317308799817,aqi,PINN,
AQI:PIIANN,1566,8.582602538292866,19.287243846296914,0.9620470688266635,1.543363848109263,aqi,PIIANN,
pm25:PIIANN,1623,15.383385686634208,32.71476897801559,0.7909681543588296,0.5200385363176878,pm25,PIIANN,
pm10:PIIANN,1640,39.226402936912166,68.74052324336486,0.8012499119934634,-1.1596499739623651,pm10,PIIANN,
no2:PIIANN,1610,6.5488008408743585,12.596961996000624,0.8301778209414858,0.24990194231410576,no2,PIIANN,
so2:PIIANN,1634,2.008536286057045,7.273970574862795,0.6178253047084392,-0.1104077003107405,so2,PIIANN,
co:PIIANN,1660,0.21991225638180764,0.3901770952588553,0.8293294826293546,0.008010162530384956,co,PIIANN,
o3:PIIANN,1622,7.76284916010374,13.866797221619182,0.7722310875478376,0.9496143203729398,o3,PIIANN,
