model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1623,5.324537564973727,15.120115605512794,0.9768709409733044,0.6725717932407765,aqi,RandomForest,49.87524085899986
AQI:LinearRegression,1623,6.138532863622963,16.70315813675198,0.9717742866515986,0.5199588822482426,aqi,LinearRegression,0.1430530820000513
AQI:GradientBoosting,1623,8.541071604296105,16.75246664904954,0.9716073933964793,0.7841448920215526,aqi,GradientBoosting,42.08339587399996
AQI:Persistence,1623,4.523105360443623,17.001268482268063,0.9707577764717349,0.47566235366605053,aqi,Persistence,0.0
AQI:GRU,1589,7.701474444444133,13.631836214979971,0.9812643912574096,-0.3467152516384428,aqi,GRU,
AQI:PINN,1589,7.6025101905913015,13.693543398183014,0.9810943865231051,0.0601245980268587,aqi,PINN,
AQI:PIIANN,1589,6.66266355619732,12.87564541705553,0.9832853569764265,0.4775808294051823,aqi,PIIANN,
pm25:PIIANN,1680,11.415625690314032,18.91066604843538,0.8926361614264184,-0.10093822702765465,pm25,PIIANN,
pm10:PIIANN,1678,23.56087116461971,38.92258205674133,0.8613248194789166,0.37211286694841533,pm10,PIIANN,
no2:PIIANN,1677,6.081483423105648,10.222168615923243,0.847789968963276,0.017906290616175925,no2,PIIANN,
so2:PIIANN,1684,1.5608932877948283,2.5974201227381664,0.8535110680037095,-0.09731802077424179,so2,PIIANN,
co:PIIANN,1686,0.1970401055768399,0.3249552465600014,0.8193942603924134,-0.004862305373260824,co,PIIANN,
o3:PIIANN,1683,6.385711874122235,9.2911035492922,0.8946993631631731,-0.2835121046036783,o3,PIIANN,
