model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1488,6.777388313085231,20.250488479901534,0.9616067541289686,-0.02379163019586276,aqi,RandomForest,44.611155629999985
AQI:LinearRegression,1488,7.194291014878685,20.981116553123996,0.9587863559924379,-0.07384004215123292,aqi,LinearRegression,0.14108449900004416
AQI:GradientBoosting,1488,9.693479232120145,21.38596034771984,0.9571805250918514,0.033024082257756604,aqi,GradientBoosting,39.007144702999994
AQI:Persistence,1488,5.705981182795699,21.623912272973346,0.9562223581078336,-0.3323252688172043,aqi,Persistence,0.0
AQI:GRU,1469,8.524545601261327,21.384104678058556,0.9531191148773009,0.277053901089613,aqi,GRU,
AQI:PINN,1469,9.069905405746496,21.456654737336134,0.9528004687888452,1.6487106370441311,aqi,PINN,
AQI:PIIANN,1469,8.116910735034484,21.085619200095916,0.9544187346291252,-0.7247038719390471,aqi,PIIANN,
pm25:PIIANN,1559,24.51755095537539,40.342885734470954,0.6411448639675701,4.7072246232194885,pm25,PIIANN,
pm10:PIIANN,1552,62.186783549711876,95.85550932877454,0.5789757145937892,3.110500989501009,pm10,PIIANN,
no2:PIIANN,1535,15.844341806907218,29.10873260161188,0.18765760196957204,-2.487079879321182,no2,PIIANN,
so2:PIIANN,1550,3.7675893992041387,6.169109330419734,0.09845039995646498,-0.037453967751033844,so2,PIIANN,
co:PIIANN,1571,0.5522562695520477,0.8697159678965937,0.2992126392975426,0.01039567563880722,co,PIIANN,
o3:PIIANN,1525,22.288478439372096,29.06680488751793,0.19257460010376826,-0.28615752344248724,o3,PIIANN,
