model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,864,2.9999405265173498,11.21757190267897,0.9510520168429593,0.07673298814766444,aqi,RandomForest,20.506144293000034
AQI:LinearRegression,864,4.267375752061249,11.330479123799584,0.9500617145021487,-0.2873063962636123,aqi,LinearRegression,0.09595307300003242
AQI:GradientBoosting,864,4.763239564855006,12.278223677485602,0.9413580828987285,-0.2831605854160066,aqi,GradientBoosting,16.647757935000072
AQI:Persistence,864,2.724537037037037,13.225518963422639,0.9319602791540408,-0.8125,aqi,Persistence,0.0
AQI:GRU,847,4.766277319616393,14.539784321048353,0.9256849007167447,-0.6317229165617129,aqi,GRU,
AQI:PINN,847,5.104098037923344,14.722286796672767,0.9238075952057997,-0.8413616269890253,aqi,PINN,
AQI:PIIANN,847,4.581342335087622,14.370189867272268,0.9274084372085246,-0.3926118111483775,aqi,PIIANN,
pm25:PIIANN,984,28.45958748314628,74.3631573990316,0.06885812432697769,1.3479840486533787,pm25,PIIANN,
pm10:PIIANN,923,42.271063751996145,80.20159365491833,0.1415359751135402,-2.584910736763335,pm10,PIIANN,
no2:PIIANN,981,38.21146771145242,98.25730844506346,0.05569359145234887,-5.406248168837541,no2,PIIANN,
so2:PIIANN,975,7.700738262273371,13.11825327097089,0.13651202067570778,-0.30341454041405364,so2,PIIANN,
co:PIIANN,1078,0.4547331161038922,0.7185726808195163,0.07672486058292571,0.04102797237883848,co,PIIANN,
o3:PIIANN,1000,18.946225421622394,25.269407253992988,0.14270350885769723,-0.9335053942650556,o3,PIIANN,
