model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,746,2.9844823694961655,7.880417602589453,0.9578730723652896,-0.15950405507099494,aqi,RandomForest,21.74627723499998
AQI:LinearRegression,746,3.869550022605494,8.912271515389483,0.9461186907808363,0.09511319570285787,aqi,LinearRegression,0.09013625600005071
AQI:GradientBoosting,746,4.228902037708804,8.918776680390787,0.946040004954055,0.030920452845228503,aqi,GradientBoosting,20.32843594899998
AQI:Persistence,746,2.9048257372654156,9.018821546696264,0.9448226410445518,-0.0388739946380697,aqi,Persistence,0.0
AQI:GRU,723,4.444709314483865,8.855826197195276,0.9465432692188817,-0.8873918635568844,aqi,GRU,
AQI:PINN,723,4.327026281490353,8.639385354414738,0.9491243562036585,-1.2484724131214833,aqi,PINN,
AQI:PIIANN,723,3.9818874884534816,8.34631992065301,0.9525174229905408,-0.26495587301623613,aqi,PIIANN,
pm25:PIIANN,783,10.674645462179244,18.48219257450873,0.46257495968810347,0.33243653653986455,pm25,PIIANN,
pm10:PIIANN,778,19.267948734653025,29.158464608563694,0.5975387963334071,2.3556865707307977,pm10,PIIANN,
no2:PIIANN,770,9.417641289769248,14.433686384513127,0.45541778221626117,-1.1806401445252168,no2,PIIANN,
so2:PIIANN,772,3.14591475326925,10.951940147197258,0.038915297241318925,-0.7911873217985768,so2,PIIANN,
co:PIIANN,785,0.3023984446623333,0.39074246630079423,0.3334770353130433,0.0019218987696299887,co,PIIANN,
o3:PIIANN,745,15.853276798309096,20.69443685305066,0.3027943850419368,0.9959659898841141,o3,PIIANN,
