model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1229,3.3224042585187914,9.942196850325653,0.9365944561162571,-0.0074674275241399584,aqi,RandomForest,17.939631960000042
AQI:Persistence,1229,3.001627339300244,10.173474979827441,0.9336102306995175,-0.09031733116354759,aqi,Persistence,0.0
AQI:LinearRegression,1229,3.7107335200079263,10.25357638616349,0.9325606681185099,0.0696693268993691,aqi,LinearRegression,0.056203687999868635
AQI:GradientBoosting,1229,4.469214215706633,10.256410902382282,0.9325233768759603,0.04695916195863816,aqi,GradientBoosting,14.45349618299997
AQI:GRU,1200,3.524742275649472,7.291449968695014,0.9631942162500124,-0.22822911943800028,aqi,GRU,
AQI:PINN,1200,3.4421857678257393,7.363244068364355,0.9624658433499367,-0.2413303475162066,aqi,PINN,
AQI:PIIANN,1200,3.3291028597064667,7.262676447318693,0.9634841290750008,-0.17012901351657284,aqi,PIIANN,
pm25:PIIANN,1303,7.8564656251042235,13.09284415599167,0.7955600244619515,-0.6241905288520632,pm25,PIIANN,
pm10:PIIANN,1299,13.29675505141096,22.05919309913726,0.8156972254511985,-0.6023946781173131,pm10,PIIANN,
no2:PIIANN,1468,6.829322547167133,11.69879392486634,0.7729670111141294,-0.14466105701975343,no2,PIIANN,
co:PIIANN,1461,0.25337530888582327,0.40189466076987246,0.7251987939292438,-0.007248696495018677,co,PIIANN,
o3:PIIANN,1522,5.309727793631637,8.065562863694366,0.8564987992794357,-0.11211550829665302,o3,PIIANN,
