model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1276,4.359266509833236,12.663708741388305,0.9564613681814719,-0.37089768504069087,aqi,RandomForest,21.543266141999993
AQI:LinearRegression,1276,4.849285896597948,12.862675643637504,0.9550824989089212,-0.31022597559189563,aqi,LinearRegression,0.07119994300001053
AQI:GradientBoosting,1276,5.987939555445368,12.97157117191403,0.9543187355824081,-0.1799398548903422,aqi,GradientBoosting,17.443337939999992
AQI:Persistence,1276,3.800940438871473,13.07951328267221,0.9535553048063137,-0.3275862068965517,aqi,Persistence,0.0
AQI:GRU,1288,4.972846615610327,13.004778759316087,0.9547390958671651,-1.0744436482235276,aqi,GRU,
AQI:PINN,1288,5.212574036079519,12.83134978183249,0.9559382261997462,-1.037918167728051,aqi,PINN,
AQI:PIIANN,1288,4.656953116653828,12.652797441382882,0.9571559616276745,-0.9349430302425704,aqi,PIIANN,
pm25:PIIANN,1348,23.387211423422535,34.14905521475897,0.1318396683655496,-0.04873434779198304,pm25,PIIANN,
pm10:PIIANN,1361,39.2819972004985,55.920912679026,0.16102080820600728,-1.7176866364952048,pm10,PIIANN,
no2:PIIANN,1374,51.43207490526606,59.49081945298303,0.21648730278306672,4.464022356306448,no2,PIIANN,
so2:PIIANN,1349,60.554617839043146,65.99020828851548,0.11567318881500976,1.8279152896015003,so2,PIIANN,
co:PIIANN,1348,0.8854557696805314,1.1298839119504127,0.09639751517909256,-0.023491153191938435,co,PIIANN,
o3:PIIANN,1385,14.20707301523281,19.81118863615854,0.016974214360325313,0.6147759549239052,o3,PIIANN,
