model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,776,5.091026301931142,11.51891632598005,0.9510205877799712,0.6099388644022666,aqi,RandomForest,24.279313971999954
AQI:GradientBoosting,776,7.112379037624394,12.942365573006011,0.9381673801973779,1.0007791119189233,aqi,GradientBoosting,22.25986247500009
AQI:LinearRegression,776,7.550853044228174,14.20320420713385,0.9255331498229418,0.5630831148381927,aqi,LinearRegression,0.08881451899992499
AQI:Persistence,776,5.364690721649485,15.02262040096002,0.9166929590330865,0.8208762886597938,aqi,Persistence,0.0
AQI:GRU,756,7.754829258532818,15.206486364320417,0.9180321975432368,-0.6466278931152631,aqi,GRU,
AQI:PINN,756,7.522739780635075,15.162084467178813,0.9185101794074884,0.26739935625630085,aqi,PINN,
AQI:PIIANN,756,6.985365748619443,14.654438829404024,0.9238755929206129,-0.3895875716036968,aqi,PIIANN,
pm25:PIIANN,824,8.895798361127817,22.545307239712347,0.6217135097479172,0.5660511101912526,pm25,PIIANN,
pm10:PIIANN,824,16.201262310870643,34.164371340145735,0.7091112452161323,0.03953778396532374,pm10,PIIANN,
no2:PIIANN,814,5.1041355465655505,8.971343776348427,0.7454228226106172,0.152434098866084,no2,PIIANN,
so2:PIIANN,826,1.1083753493774602,1.6869351859433306,0.6572245811014499,0.10974855149124206,so2,PIIANN,
co:PIIANN,830,0.18007160698425542,0.29298175994090936,0.7417296763418398,-0.0029917039640573223,co,PIIANN,
o3:PIIANN,807,11.505345414149145,16.55588016189268,0.8525570694444136,0.24645857922178885,o3,PIIANN,
