model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:LinearRegression,876,2.562244961586921,6.300256773927436,0.9590424375681812,0.3073303002276565,aqi,LinearRegression,0.12156918400000905
AQI:RandomForest,876,2.2921046467140367,6.438306084007578,0.9572278736245544,0.40659808653043883,aqi,RandomForest,30.221424438999975
AQI:GradientBoosting,876,3.108144724934301,6.544577999952956,0.9558042103170556,0.3902665909647594,aqi,GradientBoosting,27.850481459000093
AQI:Persistence,876,1.9452054794520548,6.5845398004387246,0.9552628353201799,0.2625570776255708,aqi,Persistence,0.0
AQI:GRU,865,3.074613138422469,6.7652472520205595,0.9558163282480948,0.33543724656255963,aqi,GRU,
AQI:PINN,865,2.978423659856935,6.829388942192413,0.954974540798851,-0.4800904345566205,aqi,PINN,
AQI:PIIANN,865,2.8428542535367156,6.826956930838822,0.9550066030906514,-0.10909084032574808,aqi,PIIANN,
pm25:PIIANN,956,9.585331212838325,13.664933799105782,0.5361959592656073,0.07959499350402145,pm25,PIIANN,
pm10:PIIANN,951,23.683689708464026,33.44816134609624,0.511821235128717,-3.0152343451412693,pm10,PIIANN,
no2:PIIANN,929,12.959280848631433,15.993811286728498,0.406189519065946,-1.227285386158396,no2,PIIANN,
so2:PIIANN,971,3.160340154668207,5.520378863345944,0.13729436069604972,-0.2767508354356434,so2,PIIANN,
co:PIIANN,967,0.206965473685664,0.32795207406139193,0.3202355153113242,-0.0014010154658537493,co,PIIANN,
o3:PIIANN,964,5.8704203869722384,10.661631301110466,0.14156102192527287,-0.2184335299616842,o3,PIIANN,
