model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,883,2.0532835828290947,5.547217135377694,0.9556278775217154,0.031058290518825284,aqi,RandomForest,27.969582978999824
AQI:GradientBoosting,883,2.592957125060385,5.75480942944995,0.9522446794595832,0.1110918551574807,aqi,GradientBoosting,24.973615891999998
AQI:LinearRegression,883,2.324184334665355,5.770176171288422,0.9519893022966077,-0.07228543082879887,aqi,LinearRegression,0.08789117900005294
AQI:Persistence,883,1.696489241223103,5.96877492168076,0.9486275502637261,0.04077010192525481,aqi,Persistence,0.0
AQI:GRU,887,2.5199335824551032,5.280747638785617,0.9600174068717108,-0.045420792314432065,aqi,GRU,
AQI:PINN,887,2.2969821510108974,5.1836453568703735,0.9614742862897573,-0.2519541641118411,aqi,PINN,
AQI:PIIANN,887,2.299828419764356,5.164267456435087,0.9617617874564971,-0.201710363885137,aqi,PIIANN,
pm25:PIIANN,920,7.073650727931248,9.67531373729751,0.5192776609061845,-0.730782986893926,pm25,PIIANN,
pm10:PIIANN,923,18.958542698770277,25.262553014732198,0.49670261897431256,-1.33251833063293,pm10,PIIANN,
no2:PIIANN,923,11.324268858714326,15.359794575044852,0.2626603441618077,-0.4333250132567963,no2,PIIANN,
so2:PIIANN,925,2.7782213435946286,4.203337245977042,0.11161408834765707,0.28262312380043236,so2,PIIANN,
co:PIIANN,922,0.13865616812962642,0.17930411289452508,0.5608858087961771,-0.0011193352890829203,co,PIIANN,
o3:PIIANN,804,4.988664018135027,7.798655458019339,0.12701392251340782,0.4486011968084625,o3,PIIANN,
