model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:LinearRegression,845,6.455162817216416,18.073421740245596,0.9237396104938397,-0.14823623996461815,aqi,LinearRegression,0.08466747099998884
AQI:RandomForest,845,5.61963092313183,18.1208368089486,0.9233389520296856,0.14971800580197295,aqi,RandomForest,17.215119517000062
AQI:Persistence,845,4.420118343195266,18.323813199700403,0.9216119312502282,-0.5384615384615384,aqi,Persistence,0.0
AQI:GradientBoosting,845,7.114885444388902,18.567175191463164,0.9195159311669013,-0.061786825574252455,aqi,GradientBoosting,18.271135054999945
AQI:GRU,787,8.07160936571803,17.878526730277887,0.931370836432156,-1.047396415571431,aqi,GRU,
AQI:PINN,787,7.906789190289988,18.19869715308379,0.928890791377926,0.19574932232499515,aqi,PINN,
AQI:PIIANN,787,7.622948765129454,17.522046681808384,0.9340803465337523,-0.9015346360034265,aqi,PIIANN,
pm25:PIIANN,925,21.854913320219193,63.9794140528577,0.2582821644980333,0.7229123054323969,pm25,PIIANN,
pm10:PIIANN,886,46.13854267527233,87.647793490369,0.3631349204673372,0.6036748773088304,pm10,PIIANN,
no2:PIIANN,947,6.584076934278704,11.83497762209489,0.6757622546333166,0.019760562474775464,no2,PIIANN,
so2:PIIANN,957,3.6457718974028013,4.88993328841105,0.8591070677759081,0.11133616820927573,so2,PIIANN,
co:PIIANN,989,0.271238162398535,0.41980480764314104,0.5822007591608742,-0.03883071661788416,co,PIIANN,
